Автор,Название книги,Издательство,Год выпуска
А.С. Пушкин,"Евгений Онегин",АСТ,2021
Ф.М. Достоевский,"Преступление и наказание",Эксмо,2020
Л.Н. Толстой,"Война и мир. Том 1",Речь,2019
Н.В. Гоголь,"Мёртвые души",Азбука,2022
А.П. Чехов,"Вишнёвый сад",АСТ,2021
И.С. Тургенев,"Отцы и дети",Эксмо,2020
М.Ю. Лермонтов,"Герой нашего времени",Азбука,2019
Ф.М. Достоевский,"Идиот",Речь,2021
Л.Н. Толстой,"Анна Каренина",АСТ,2020
А.С. Пушкин,"Капитанская дочка",Эксмо,2022
Н.В. Гоголь,"Ревизор",Азбука,2021
А.П. Чехов,"Рассказы",Речь,2020
И.А. Гончаров,"Обломов",АСТ,2019
Ф.М. Достоевский,"Братья Карамазовы",Эксмо,2021
Л.Н. Толстой,"Воскресение",Азбука,2020
А.С. Пушкин,"Повести Белкина",Речь,2022
М.А. Булгаков,"Мастер и Маргарита",АСТ,2021
А.Н. Островский,"Гроза",Эксмо,2020
И.С. Тургенев,"Дворянское гнездо",Азбука,2019
А.П. Чехов,"Три сестры",Речь,2021
